iter	Passed	Remaining
1601	39792	34725
1602	39816	34699
1603	39837	34671
1604	39860	34645
1605	39885	34620
1606	39908	34593
1607	39934	34570
1608	39955	34542
1609	39984	34520
1610	40016	34502
1611	40042	34478
1612	40071	34457
1613	40101	34436
1614	40128	34413
1615	40153	34389
1616	40181	34366
1617	40210	34345
1618	40236	34321
1619	40258	34294
1620	40282	34268
1621	40309	34245
1622	40332	34218
1623	40361	34198
1624	40391	34177
1625	40413	34150
1626	40441	34128
1627	40467	34103
1628	40487	34075
1629	40509	34047
1630	40532	34021
1631	40553	33992
1632	40578	33968
1633	40603	33944
1634	40624	33915
1635	40647	33889
1636	40667	33860
1637	40691	33835
1638	40716	33810
1639	40741	33785
1640	40765	33760
1641	40790	33735
1642	40809	33705
1643	40834	33680
1644	40857	33654
1645	40882	33629
1646	40907	33605
1647	40928	33577
1648	40950	33550
1649	40978	33527
1650	41006	33505
1651	41032	33482
1652	41060	33459
1653	41082	33432
1654	41111	33410
1655	41132	33383
1656	41160	33360
1657	41184	33335
1658	41207	33308
1659	41235	33286
1660	41263	33264
1661	41287	33238
